interaction_id,user_id,movie_id,rating,valoration_date
88,5,45116,4.0,2025-09-21 21:04:07
89,5,35024,3.0,2025-04-18 21:04:07
90,6,708455,4.0,2026-02-10 21:04:07
91,6,602540,3.5,2026-03-16 21:04:07
92,6,30278,2.0,2025-11-14 21:04:07
93,6,427370,4.5,2025-05-09 21:04:07
94,6,189142,1.5,2025-05-07 21:04:07
95,6,940961,1.0,2025-05-31 21:04:07
96,6,834945,4.0,2025-05-08 21:04:07
97,6,1425737,0.5,2026-02-04 21:04:07
98,6,10638,2.5,2025-10-05 21:04:07
99,6,1429347,5.0,2025-12-18 21:04:07
100,7,1142988,4.0,2025-08-26 21:04:07
101,7,645637,4.0,2026-02-07 21:04:07
102,7,854556,4.0,2026-02-26 21:04:07
103,7,1552455,4.5,2026-02-17 21:04:07
104,7,803866,4.0,2025-08-30 21:04:07
105,7,1084388,4.5,2025-06-23 21:04:07
106,7,1548955,4.0,2025-07-12 21:04:07
107,7,1165694,2.0,2025-12-13 21:04:07
108,7,1647426,5.0,2025-09-04 21:04:07
109,7,1351668,4.5,2025-09-30 21:04:07
110,7,378152,4.5,2025-04-28 21:04:07
111,7,1466072,0.5,2025-11-18 21:04:07
112,7,1253208,3.5,2025-11-05 21:04:07
113,7,232780,2.0,2025-08-09 21:04:07
114,7,57322,1.5,2025-10-13 21:04:07
115,7,1029958,3.0,2026-03-02 21:04:07
116,7,1367729,0.5,2025-09-11 21:04:07
117,7,613201,4.0,2025-10-07 21:04:07
118,7,805176,2.0,2025-05-20 21:04:07
119,7,177945,3.0,2026-02-10 21:04:07
120,7,804000,2.5,2025-12-07 21:04:07
121,7,1589326,4.5,2025-10-24 21:04:07
122,7,127052,1.0,2025-07-25 21:04:07
123,7,1174190,3.0,2026-04-03 21:04:07
124,7,988308,3.0,2026-02-06 21:04:07
125,7,530476,4.0,2025-11-28 21:04:07
126,7,655114,3.5,2025-11-05 21:04:07
127,7,261377,4.5,2025-07-15 21:04:07
128,7,552770,4.5,2025-10-24 21:04:07
129,7,1441812,2.0,2026-02-07 21:04:07
130,8,1630422,3.0,2025-11-19 21:04:07
131,8,291753,3.0,2026-04-06 21:04:07
132,8,777439,4.5,2025-08-03 21:04:07
133,8,768746,2.0,2025-10-19 21:04:07
134,8,1497876,4.0,2025-04-26 21:04:07
135,8,791032,4.5,2025-09-17 21:04:07
136,8,1156681,2.0,2025-05-31 21:04:07
137,8,539401,1.0,2025-10-03 21:04:07
138,8,419598,2.5,2025-12-02 21:04:07
139,8,719788,4.0,2025-12-03 21:04:07
140,8,28529,3.0,2026-03-26 21:04:07
141,8,972643,3.5,2025-07-15 21:04:07
142,8,720046,5.0,2025-04-21 21:04:07
143,8,1294464,4.0,2025-06-24 21:04:07
144,9,1185804,2.0,2025-11-07 21:04:07
145,9,408134,2.0,2025-05-31 21:04:07
146,9,1250147,3.0,2026-01-09 21:04:07
147,9,487832,5.0,2025-11-23 21:04:07
148,9,1024312,5.0,2025-09-18 21:04:07
149,9,887727,5.0,2025-07-02 21:04:07
150,9,821057,4.5,2025-08-02 21:04:07
151,9,449293,1.0,2025-10-17 21:04:07
152,9,734186,2.5,2025-10-08 21:04:07
153,9,443169,2.0,2025-09-25 21:04:07
154,9,1416572,3.5,2025-08-01 21:04:07
155,9,1650180,1.0,2025-05-06 21:04:07
156,9,363951,1.5,2026-03-12 21:04:07
157,9,1427648,1.5,2026-03-25 21:04:07
158,9,1599381,4.5,2025-05-07 21:04:07
159,9,254717,4.0,2026-02-08 21:04:07
160,9,849904,5.0,2025-07-03 21:04:07
161,9,1224234,4.5,2025-10-17 21:04:07
162,9,576129,5.0,2025-04-09 21:04:07
163,9,251877,1.5,2025-08-26 21:04:07
164,9,1505324,3.0,2025-11-09 21:04:07
165,9,916626,1.5,2025-10-17 21:04:07
166,9,827078,3.0,2026-01-06 21:04:07
167,10,897784,4.5,2025-09-11 21:04:07
168,10,791313,4.5,2025-04-23 21:04:07
169,10,580977,4.5,2026-04-03 21:04:07
170,10,1518962,4.0,2026-04-04 21:04:07
171,10,1457460,5.0,2026-03-26 21:04:07
172,10,1317798,3.0,2025-09-07 21:04:07
173,10,1449719,3.5,2025-07-27 21:04:07
174,10,1203453,3.0,2025-12-11 21:04:07
175,10,1266818,3.5,2025-11-23 21:04:07
176,10,1537303,3.5,2025-12-20 21:04:07
177,10,1303272,3.5,2025-06-15 21:04:07
178,10,1423107,4.0,2025-06-29 21:04:07
179,10,564811,1.5,2025-07-21 21:04:07
180,10,1186115,4.5,2026-01-01 21:04:07
181,10,1027579,1.0,2025-11-12 21:04:07
182,10,632818,0.5,2026-02-14 21:04:07
183,10,1376531,4.0,2025-12-05 21:04:07
184,10,1385803,5.0,2025-10-11 21:04:07
185,10,1491099,3.5,2025-09-02 21:04:07
186,10,1630748,2.0,2025-12-11 21:04:07
187,10,1310294,4.5,2025-08-10 21:04:07
188,10,1453566,4.0,2026-02-07 21:04:07
189,10,231416,1.0,2025-12-26 21:04:07
190,10,302049,4.5,2025-08-29 21:04:07
191,10,575051,4.0,2025-06-17 21:04:07
192,10,965824,1.5,2025-10-21 21:04:07
193,10,1046876,0.5,2025-08-28 21:04:07
194,12,940721,3.5,2026-04-20 21:18:49
195,12,68718,4.5,2026-04-20 21:23:21
196,12,671,3.5,2026-04-20 21:34:17
197,12,615457,4.0,2026-04-20 21:34:30
198,12,335984,5.0,2026-04-20 21:48:36
199,12,766507,3.0,2026-04-20 21:48:51
200,12,1091,4.0,2026-04-20 21:49:05
201,7,103,5.0,2026-04-21 18:48:08
202,3,242582,5.0,2026-04-22 19:22:24
203,3,238,5.0,2026-04-23 18:58:17
204,15,299536,0.5,2026-04-23 19:16:56
205,15,299534,0.5,2026-04-23 19:17:45
206,15,99861,0.5,2026-04-23 19:18:28
207,15,24428,0.5,2026-04-23 19:29:35
208,15,447365,0.5,2026-04-24 18:55:09
209,15,283995,0.5,2026-04-24 18:55:45
210,15,752,5.0,2026-04-24 18:57:24
211,4,680,5.0,2026-04-25 21:52:45
212,18,417859,0.5,2026-04-26 15:33:09
213,18,324857,0.5,2026-04-26 15:37:54
214,18,508442,4.0,2026-04-26 16:45:01
215,19,680,4.5,2026-04-26 19:18:39
